Report generated on: 02-28-2022 14:46:31
"API","","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"","total energy consumption (quad Btu)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.44-2-CAF-QBTU.A","        Central African Republic","0.002744508922974084","0.003348703052660735","0.003585457726548775","0.00375319410605647","0.00360282098817921","0.003501405411708775","0.004284464","0.00396747244115","0.00397934651078","0.00397885344115","0.0042310512199","0.0044358117199","0.00426673423676","0.0046538597199","0.0048819857199","0.0048915227689","0.00512843903676","0.0051273132199","0.0051055912199","0.00510795468","0.004934745099999999","0.005068438800000002","0.005010510700000002","0.004710489880000001","0.005045563529999999","0.00505671168","0.0052464235500000005","0.005215118000000002","0.004216162","0.0040587287","0.0041344986","0.0045126126","0.004601352520547945","0.0033886408","0.0039009091","0.0048840177","0.0051423744","0.0051432959","0.005257995","0.0053177662"
"INTL.44-2-TCD-QBTU.A","        Chad","0.004121930526383172","0.003905135","0.003905135","0.003905135","0.00185486873478114","0.00226086763163193","0.003905135","0.003468522","0.0021070939518","0.0023105525285","0.004842245271","0.004734707","0.0047476788","0.002278184","0.0024907965","0.0024907965","0.0024976206","0.0026977515","0.0026977515","0.0026977515","0.00352171462","0.0033801684200000003","0.003336713919999999","0.003298285279999999","0.003474965470000002","0.003740063259999999","0.0037965541099999997","0.004189782399999997","0.004393578900000004","0.004790083800000008","0.005313157400000007","0.007604638350000001","0.013082730072054795","0.013572405749999999","0.01411009975","0.01431090645841096","0.014186825148410959","0.022888172916","0.024247677816","0.0251233299"
"INTL.44-2-COM-QBTU.A","        Comoros","0.00065374927132994","0.00065214983484035","0.00065215183886035","0.00065228386600035","0.00065385326474994","0.00065213782960035","0.0003649830115","0.0007690453315","0.0007700217272","0.0007690713315","0.000909634626","0.0008780592065","0.0008796178508","0.0008778052065","0.0008778192065","0.000877211037","0.0008796138508","0.0008776132065","0.0010693157065","0.001069391","0.00149579639","0.0015612421399999995","0.0015710951399999994","0.002007924370000002","0.0022043587200000015","0.0021173647200000015","0.002464226120000001","0.0016283711299999997","0.0016599928699999995","0.002024540670000001","0.002404560812","0.0021601466534","0.0022456197869884925","0.002679572624800001","0.0023934862310999996","0.002582258","0.0030276568","0.003878865","0.0042204872","0.0045497505"
"INTL.44-2-COG-QBTU.A","        Congo-Brazzaville","0.011357328773230257","0.013590299323001135","0.012395129689075995","0.011223844875141714","0.011503965958594707","0.016628855806943166","0.0152677623475","0.01848704914","0.01495781106","0.01733075614","0.019259085515","0.01761723992375","0.0168513154","0.0151853635","0.014398984","0.01471911","0.0156490088","0.0152654315","0.014222327","0.0119011895","0.013126511671128008","0.016113310155784002","0.014911863742286008","0.017051001238671985","0.01808722139869199","0.024450039972666014","0.029156607700356017","0.035877620578056005","0.040837369929707996","0.049562202204370014","0.06753666101825401","0.08113134702678601","0.08321799213256667","0.10520172294486198","0.100084224615332","0.10093587761556","0.096454705456","0.091830294011","0.087476576351","0.08692788392484"
"INTL.44-2-COD-QBTU.A","        Congo-Kinshasa","0.08959000922577996","0.09107675552067608","0.09239638080011493","0.09612267312660161","0.09566504708304985","0.09722122479482305","0.10273666529344971","0.09783577665917843","0.10731183906443725","0.11117970887789684","0.10641058669987663","0.0987604055","0.108942379","0.1047919785","0.0917386455","0.1003534553015","0.1026688853972","0.0923744435","0.087090605","0.0946024673176","0.07278066004","0.07157373938689644","0.07356531961864565","0.0765566063795517","0.08677212519740778","0.09414903877638495","0.09933754208757455","0.1023527754155178","0.09686283004154723","0.0947716236507783","0.10481676174250877","0.11342885386604269","0.11178169397736362","0.13506480835239043","0.16177593937356743","0.12482038928702273","0.11512249527849112","0.12502906347367987","0.13228795088545364","0.11928103224579682"
"INTL.44-2-CIV-QBTU.A","        Côte d’Ivoire","0.0731198068252502","0.08124152824051442","0.07708221801472966","0.07442450513779442","0.06511272891246883","0.07724041371839442","0.078675462","0.08637045","0.0896239158","0.0899040725","0.077477494","0.0655077515","0.0636061116","0.071507168","0.0737724575","0.0804922945","0.093637293","0.0955772035","0.096477986","0.1247034762","0.12542619024751198","0.12426260146371193","0.1207830154256141","0.10889209691660999","0.1175585259264819","0.13049064812686004","0.11155582949927398","0.11936572670405603","0.13122316797429795","0.12767101329797598","0.13052781155227794","0.12146108786422809","0.1480544858436959","0.16391104572154605","0.17315123001268998","0.17243861749540002","0.1957513331959","0.1955824983659","0.19509821566308","0.212106033525"
"INTL.44-2-DJI-QBTU.A","        Djibouti","0.021651177333507833","0.017273616888714864","0.017273616888714864","0.012955212666522005","0.010825588664650332","0.01079601055354473","0.0097164095","0.0099281095","0.0097252056","0.022855789","0.0234823115","0.0234823115","0.0237767508","0.023923487","0.02457253","0.0243430545","0.0244097478","0.02457253","0.02457253","0.02457253","0.01205765143","0.012012843339999992","0.012047991339999991","0.012497622340000005","0.01215555655","0.011494757549999986","0.010741764350000014","0.011180996612000005","0.012503180394999988","0.010857237309000017","0.012364417967999993","0.00933996963599999","0.012324276464515055","0.012721700845999983","0.012943424419000002","0.0113808719","0.0103714376","0.009042648142983977","0.0095087855160767","0.0086314065"
"INTL.44-2-EGY-QBTU.A","        Egypt","0.7140594428170928","0.8305158634435416","0.9232088194934063","1.0595551970905326","1.1553351422787006","1.2199386464340396","1.2408491517241749","1.2901768440176622","1.3037442814322169","1.345307729846115","1.421280615845297","1.4237189396274608","1.4268271551660792","1.5142681585311337","1.5936509714302338","1.6359800118648633","1.7704372177473653","1.8321070151118013","1.8956379822155196","1.9411405286659287","2.0055523216912787","2.243045836100494","2.2348959055303763","2.4347389765287923","2.6298953778158634","2.7516737624432452","2.917422216894608","3.098145385322032","3.2126969899638786","3.364825263783174","3.505292658139985","3.62132403120261","3.7765915297706285","3.74091948785085","3.728282105114879","3.729646507836449","3.766392158526516","4.0076841344027665","4.030794274250869","4.0218166746292425"
"INTL.44-2-GNQ-QBTU.A","        Equatorial Guinea","0.00085226944658","0.00085012760524","0.00105743500926","0.0010575670364","0.0010602468","0.0012647264","0.001057419","0.00109794789","0.001100602736","0.00173581139","0.00173575139","0.00173581939","0.001740223736","0.00173556539","0.00173557939","0.00173546554","0.001740219736","0.00195819889","0.00269764699","0.0026977511","0.01098258685","0.00619451855","0.09632899035","0.1044000888","0.0211442211","0.0778031513","0.0949083546","0.1049116440745","0.10331663045342465","0.10946872295","0.1051431032","0.113038628","0.10992712775342466","0.1134170562","0.10676349885","0.09622653152","0.095041879721","0.0934000626720003","0.08472624523800028","0.07809995135100027"
"INTL.44-2-ERI-QBTU.A","        Eritrea","--","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0132518725","0.015181153","0.015516753","0.015686913652","0.016658340261","0.0172905505","0.008868973819999994","0.009715770269999998","0.00885880037","0.010617945190000009","0.011563277850000001","0.011570615269999992","0.007958161369999984","0.00817214267999999","0.005839352989999998","0.007055518270000003","0.007033851490000008","0.007162925950000004","0.007612387091835616","0.007762444060000003","0.008106560410000001","0.008039024","0.008182928","0.009067040059924016","0.010391152840014375","0.0112780475"
