DIRECTION - Inward,,,,,,,,,,,,,,,,,,,,,,
MEASURE - US dollars at current prices in millions,,,,,,,,,,,,,,,,,,,,,,
MODE - Flow,,,,,,,,,,,,,,,,,,,,,,
YEAR,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
          Nigeria,1177.707927,1309.665175,1277.420643,2040.182095,2171.390315,2127.086142,4978.26,4897.81,6086.73,8248.64,8649.526667,6098.96303,8914.89,7127.38,5608.463733,4693.828632,3064.168905,3453.258408,2412.974916,775.2474,2305.099812,2385.277666
          Rwanda,1.74,8.0999999,18.5,1.5,4.7,7.7,7.96,30.6439664,82.2831658,102.2899999,118.67,250.5048029,119.1053858,254.9632443,257.6,458.8999999,379.8,342.3,356.4365006,381.9115985,353.8444861,134.7549429
          Saint Helena,..,-3.8399999,0.23,..,..,-0.65,0.18,0.06,0.39,..,..,..,..,..,..,..,..,..,..,..,..,..
          Sao Tome and Principe,3.04,3.7999999,3,3.6,3.3999999,3.5,15.6999999,38,36,79.0999999,15.5,50.6,32.2,22.471527,11.1053448,41.3859821,15.4996151,30.6077707,29.1844523,23.203612,24.1917995,47.1121848
          Senegal,153.24696,62.93751475,31.94236596,78.05299374,52.49483827,77.02849788,44.58848688,220.3197613,297.4271127,397.6328982,320.0327837,266.1076529,338.2189011,276.1754031,311.3667712,403.0980563,409.1661244,472.4097959,588.2929975,847.8415754,1065.46282,1480.500726
          Seychelles,55.21676793,24.3269826,64.7402749,47.7177771,58.4255047,37.4466703,85.8796027,145.5859532,181.628,182.105,171.401,210.816,207.356,261.36,170.25,229.96,194.546,155.238,191.9476607,119.5235314,143.7418556,122.2948358
          Sierra Leone,0.53320031,39.00091773,9.835762656,10.41342906,8.615054047,61.15322252,83.18225077,58.76802469,96.57770527,57.62382149,110.8455097,238.4372903,950.4782533,722.4468467,429.6644863,375.0896951,252.4359045,137.965734,128.8834499,217.8129189,367.6999999,348.6999999
          Somalia,-0.81,0.27,0.04,0.14,-0.85,-4.79,24,96,141,87,108,112,102,107.33,258,261,303,330,369,408,447,464
          South Africa,1503.237591,887.3416208,6783.921349,1569.155749,733.6660167,798.0259115,6646.926642,311.4501111,6538.06193,9209.172495,7502.062271,3635.596253,4242.86578,4558.847353,8300.10378,5770.658991,1729.376993,2235.001472,2008.360978,5449.554014,5124.986962,3106.48726
          South Sudan,_,_,_,_,_,_,_,_,_,_,_,_,_,161,-793,44,0.15,-7.8499999,1.4199999,60.14,-231.84,17.5
"          Tanzania, United Republic of",496.6,1012.626174,467.1999999,387.6,308.1999999,330.6,935.5205917,403.0389913,581.5118069,1383.25,952.61,1813.25,1229.38,1799.6,2087.3,1416.1,1560.8,864.04,937.7,971.576866,990.6261737,1012.626174
          Togo,31.68268911,41.47190355,63.58461146,53.36390297,33.73365451,59.35811163,76.99234835,77.33557727,49.16257535,23.88316343,48.53172267,85.82671919,711.0874697,121.5185485,183.5992504,54.01941071,257.8602555,-46.30833572,88.56006582,-183.3875768,345.6969668,639.4832365
          Uganda,140.2470512,180.8121074,151.496,184.648,202.193,295.416,379.8079999,644.2619999,792.306,728.8609999,841.5708027,543.8727273,894.293858,1205.388488,1096,1058.56454,737.6521402,625.7043619,802.704141,1055.353353,1258.885586,822.5897382
          Zambia,85.9609999,121.7,145,298.36,346.62,364,356.94,615.7899999,1323.9,938.62,694.7999999,1729.3,1108.5,1731.5,2099.8,1488.7,1304.9,662.8999999,1107.5,408.4384916,547.9679096,234.0317501
          Zimbabwe,59,23.1999999,3.7999999,25.8999999,3.7999999,8.6999999,102.8,40,68.9,51.6,105,165.9,387,399.5,400,544.7999999,421,371.8105035,349.4195797,744.6371991,280,194.36
  Africa,11892.30067,10381.77242,19972.56154,14761.25999,18156.99086,17646.79175,29260.30501,34593.72186,50863.88186,58391.17904,56866.29065,47242.97528,46440.85152,57086.83239,50637.13237,54497.56025,57902.3256,46248.59679,40175.73646,45374.22393,47142.67604,39785.21662
    Sub-Saharan Africa,8544.351454,7131.643241,14614.94895,10889.69833,12891.43694,11202.89386,17646.91688,12999.19627,27767.01833,36185.70173,38724.75558,31497.05685,38892.50714,41488.83857,37879.7377,42502.73843,45575.75453,32399.58363,26902.57855,30036.23151,33360.75085,29675.82879
      Eastern Africa,1555.82415,2198.163405,1584.367596,1734.3091,2017.326639,2334.418183,2538.589866,3329.765825,6014.45841,6992.559584,7858.631458,10904.98604,11925.7536,15613.62726,16348.02072,15180.36866,14206.51499,12880.51232,12982.65833,13312.48365,11711.11646,9483.127234
      Middle Africa,2957.854372,1529.231518,3717.962483,3963.34557,6250.846258,3703.931616,719.8722103,1319.938022,4297.881329,6042.128015,7543.26727,4320.729455,2405.715663,3740.539031,-1957.788695,8471.579332,17934.71028,4880.803149,1192.175846,2514.76519,4404.431054,7170.171914
      Southern Africa,1692.639207,1273.186296,7237.634668,2278.77015,1280.448764,1541.205208,7292.305296,1329.7517,7878.708568,10567.07969,8708.941753,4266.914613,5522.728647,5854.386589,9272.177601,6847.054152,3243.747733,2913.699148,2615.971877,6109.240283,5287.489914,3254.866275
      Western Africa,2338.033725,2131.062023,2074.984205,2913.273507,3342.815278,3623.338852,7096.14951,7019.740725,9575.970021,12583.93445,14613.9151,12004.42675,19038.30923,16280.28568,14217.32807,12003.73629,10190.78153,11724.56901,10111.7725,8099.742383,11957.71341,9767.663366
